id
Yujin Harada
Tetsu Yamauchi
Sabu Toyozumi
Mike Walker (4)
Joe Dunnet
Hiro Izumi
John Redfern (2)
Goro Yamamoto
Kunimitsu Fuyuume
mgk
YUNGBLUD
Travis Barker
Bring Me The Horizon
Jona Weinhofen
Matthew Nicholls (2)
Curtis Ward
Oliver Sykes
Lee Malia
Matt Kean
Jordan Fish (2)
Ed Sheeran
Mastodon
Bill Kelliher
Troy Sanders
Brann Dailor
Brent Hinds
Eric Saner
Kvelertak
Ivar Nikolaisen
Håvard Takle Ohr
Erlend Hjelvik
Vidar Landa
Bjarte Lund Rolland
Kjetil Gjermundrød
Maciek Ofstad
Marvin Nygaard
Anders Mosness
Kyuss
John Garcia (2)
Brant Bjork
Scott Reeder
Chris Cockrell
Them Crooked Vultures
John Baldwin
Led Zeppelin
Jimmy Page
Robert Plant
John Bonham
Failure
Ken Andrews
Greg Edwards (2)
Kellii Scott
Robert Gauss
Puscifer
Paul Barker
Mat Mitchell
Sarah Jones (3)
Carina Round
Gunnar Olsen
Melvins
Paul Leary
Joe Preston
Billy Anderson
Trevor Dunn
Mark Deutrom
Kevin Rutmanis
Jeffrey Pinkus
Matt Lukin
Lori Black
Coady Willis
Steven McDonald
David Scott Stone
Jared Warren
Mike Dillard
Dave Sharp (5)
Roger Osborne
Damon Albarn
Guy Garvey
Ryuichi Sakamoto
Yukihiro Takahashi
David Sylvian
Blur
Graham Coxon
Dave Rowntree
Alex James (2)
Gorillaz
Miho Hatori
Junior Dan
Morgan Nicholls
Simon Tong
Mike Smith (3)
Cass Browne
Jamie Hewlett
Dan Nakamura
Teren Delvon Jones
Seye Adelekan
Jeff Wootton
Remi Kabaka Jr.
MF DOOM
Japan
Mick Karn
Steve Jansen
Richard Barbieri
Rob Dean
Porcupine Tree
Steven Wilson
Colin Edwin
Gavin Harrison
Chris Maitland
The Pineapple Thief
Bruce Soord
Steve Kitch
Keith Harrison (4)
Jon Sykes
Matt O'Leary
King Crimson
Robert Fripp
Mel Collins
Bill Bruford
William Rieflin
David Cross
Keith Tippett
John Wetton
Jamie Muir
Gordon Haskell
Andy McCulloch
Peter Sinfield
Tony Levin
Ian McDonald
Greg Lake
Michael Giles
Trey Gunn
Pat Mastelotto
Jeremy Stacey
Boz Burrell
Ian Wallace
Jakko M. Jakszyk
Raymond Burrell
Chris Gibson (10)
"Emerson, Lake & Palmer"
Keith Emerson
Carl Palmer
Asia
Neil Lockwood
Steve Howe
Billy Sherwood
Pat Thrall
Al Pitrelli
Geoff Downes
Jay Schellen
Nigel Glockler
Chris Slade
Vinny Burns
Michael Sturgis
Mandy Meyer
Guthrie Govan
Marc Bonilla
John Payne (6)
Sam Coulson
Harry Whitley
"Emerson, Lake & Powell"
Cozy Powell
Rainbow
Roger Glover
Dave Rosenthal
Tony Carey
Bob Daisley
Ritchie Blackmore
Jens Johansson
Gary Driscoll
Mickey Lee Soule
Ronald Padavona
Paul Morris
Don Airey
Jimmy Bain
Graham Bonnet
Chuck Bürgi
Bobby Rondinelli
Jack Green
Craig Gruber
Mark Clarke (2)
John Miceli
David Stone (3)
John O. Reilly
Greg Smith (6)
Doogie White
Bob Curiano
David Keith (4)
Ronnie Romero
Joseph Arthur Linquito
Jeff Beck
Rod Stewart
Eric Clapton
ZZ Top
Billy Gibbons
Dusty Hill
Frank Beard
Lanier Greig
Dan Mitchell (3)
Elwood Francis
Black Sabbath
Neil Murray
Tony Iommi
Bill Ward
Rob Halford
Mike Bordin
Glenn Hughes
Jo Burt
Eric Singer
Terry Chimes
Geezer Butler
Ian Gillan
Geoff Nicholls
Bev Bevan
Ray Gillen
Vinny Appice
Gordon Copley
Dave Spitz
Jeff Fenholt
Dave Walker (6)
David Donato
Anthony Philip Harford
Dio
Rudy Sarzo
Rowan Robertson
Jeff Pilson
Vivian Campbell
Claude Schnell
Scott Warren
Teddy Cook
Simon Wright (4)
Jerry Best
Craig Goldy
Doug Aldrich
Jake Williams (5)
Tracy Grijalva
Whitesnake
Steve Vai
Aynsley Dunbar
Chris Frazier
Ian Paice
Jon Lord
Tommy Aldridge
Brett Tuggle
Reb Beach
Colin Hodgkinson
Bernie Marsden
Brian Tichy
David Coverdale
John Sykes
Micky Moody
Mel Galley
Denny Carmassi
Uriah Duffy
Dave Dowle
Adrian Vandenberg
Marco Mendoza
Timothy Drury
Brian Johnstone
Joel Hoekstra
Michele Luppi
Michael Devin (2)
Tanya O'Callaghan
Dino Jelusić
Rick Serrate
Def Leppard
Phil Collen
Joe Elliott
Rick Savage
Pete Willis
Steve Clark (5)
Rick Allen (2)
Tony Kenning
Heaven & Hell
Paul McCartney
Pat Smear
Manic Street Preachers
James Dean Bradfield
Richey Edwards
Sean Moore
Nick Jones (5)
Nina Persson
The Cardigans
Peter Svensson
Magnus Sveningsson
Bengt Lagerberg
Lars-Olof Johansson
Mattias Alfheim
Tom Jones
Stereophonics
Kelly Jones
Javier Weyler
Jamie Morrison
Richard Jones (6)
Stuart Cable
Adam Zindani
Robbie Williams
Brad Paisley
Dolly Parton
Ringo Starr
Miley Cyrus
Michael Bolton
Richard Clayderman
Howlin' Wolf
Steve Winwood
Bill Wyman
Jeff Lynne
Linda McCartney
Rihanna
Kanye West
Michael Jackson
Khruangbin
"Donald Johnson, Jr."
Laura Lee (5)
Mark Speer
Jon Bon Jovi
Sheryl Crow
Fergie
Colbie Caillat
Natasha Bedingfield
Leona Lewis
Johnny Rzeznik
Krewella
Jahan Yousaf
Yasmine Yousaf
Kris Trindl
Angelique Kidjo
Kelsea Ballerini
Nicole Scherzinger
Christina Grimmie
Victoria Justice
Q'orianka Kilcher
Derek & The Dominos
Jim Gordon
Bobby Whitlock
Carl Radle
The Beatles
John Lennon
George Harrison
Richard Starkey
Pete Best
Stuart Sutcliffe
Wings
Henry McCullough
Jimmy McCulloch
Joe English
Geoff Britton
Denny Seiwell
Steve Holley (2)
Laurence Juber
Brian Frederick Hines
Bon Jovi
David Bryan
Phil X
Richie Sambora
Hugh McDonald
Tico Torres
Alec John Such
Elton John
Yoko Ono
Bob Dylan
Roger McGuinn
Tom Petty
Neil Young
Tom Petty and the Heartbreakers
Mike Campbell
Steve Ferrone
Benmont Tench
Howie Epstein
Scott Thurston
Phil Jones (3)
Stan Lynch
Ron Blair
Stevie Nicks
Fleetwood Mac
Neil Finn
Christine McVie
Bob Weston
Bob Welch
Lindsey Buckingham
Dave Mason
John McVie
Mick Fleetwood
Bekka Bramlett
Billy Burnette
Rick Vito
Jeremy Spencer
Danny Kirwan
Bob Brunning
Douglas Graves
Peter Greenbaum
Snoop Dogg
Dr. Dre
Jelly Roll
Traveling Wilburys
Roy Orbison
Johnny Cash
Eminem
Big Time Rush
Carlos Pena
James Maslow
Logan Henderson
Kendall Schmidt
Wiz Khalifa
Bruno Mars
The Dualists
Manon Dave
Tushar Apte
Idris Elba
benny blanco
BTS
V (37)
Jimin (2)
J-Hope
Jin (30)
Jungkook
Suga (14)
Kim Nam-joon
Coldplay
Chris Martin
Guy Berryman
Will Champion
Jon Buckland
Phil Harvey
Pharrell Williams
Charlie Wilson
Daft Punk
Thomas Bangalter
Guy-Manuel de Homem-Christo
Nile Rodgers
J Balvin
BIA
Sky Rompiendo
HUGEL
Ellie Goulding
Topic
Arash
Daecolm
Imagine Dragons
Daniel Platzman (2)
Ben McKee
Dan Reynolds (5)
Wayne Sermon
Andrew Tolman
Brittany Tolman
Theresa Flaminio
Dave Lemke
Andrew Colin Beck
Aurora Florence
Dua Lipa
Bad Bunny
Tainy
WATT
Yo-Yo Ma
Chad Smith
Julian Casablancas
The Weeknd
Charli xcx
The Lonely Island
Jorma Taccone
Akiva Schaffer
Andy Samberg
The Strokes
Albert Hammond Jr.
Nikolai Fraiture
Nick Valensi
Fabrizio Moretti
Justice
Xavier de Rosnay
Gaspard Augé
Tame Impala
Julien Barbagallo
Jay Watson
Kevin Parker (2)
Dominic Simper
Nick Allbrook
Cameron Avery
Lou Reed
Angela Howard
The Killers
Brandon Flowers
Ronnie Vannucci
Dave Keuning
Mark Stoermer
The Velvet Underground
Angus MacLise
John Cale
Henry Flynt
Sterling Morrison
Moe Tucker
Willie Alexander
Bill Yule
Doug Yule
Rob Norris
Mark Nauseef
Walter Powers
Nico
Lamb of God
Mark Morton (2)
John Campbell (3)
Randy Blythe
Willie Adler
Chris Adler
Art Cruz
Megadeth
Kerry King
Marty Friedman
Kiko Loureiro
James LoMenzo
Glen Drover
David Ellefson
Jay Reynolds (2)
Jeff Young (3)
Gar Samuelson
Chris Poland
Nick Menza
Jimmy DeGrasso
Chuck Behler
James McDonough
Teemu Mäntysaari
Dirk Verbeuren
Shawn Drover
Greg Handevidt
Dijon Carruthers
Lee Rauch
Kreator
Markus Freiwald
Sami Yli-Sirniö
Frank Gosdzik
Jürgen Reil
Mille Petrozza
Rob Fioretti
Christian Giesler
Jörg Trzebiatowski
Tommy Vetterli
Joe Cangelosi
Frédéric Leclercq
Michael Wulf
Nick Cave & The Bad Seeds
Barry Adamson
Mick Harvey
Nick Cave
Blixa Bargeld
Thomas Wydler
Anita Lane
Warren Ellis
Jim Sclavunos
Conway Savage
Martyn P. Casey
James Johnston
Roland Wolf
Hugo Race
Ed Kuepper
George Vjestica
Brian Tristan
Kylie Minogue
A$AP Rocky
Imogen Heap
Clams Casino
Olly Alexander (Years & Years)
Emre Turkmen
Michael Goldsworthy
Dylan Bell (2)
Olivier Subria
Oliver Alexander Thornton
Noel Leeman
Benjamin Ingrosso
Axwell /\ Ingrosso
