source,target,song,type
Jools Holland & his Rhythm & Blues Orchestra,Anna Brooks,,band_member
Jools Holland & his Rhythm & Blues Orchestra,David Swift (6),,band_member
Jools Holland & his Rhythm & Blues Orchestra,Jason Bruer (2),,band_member
Chris Barber,Guy Barker,Anglegrinder Blues,collab
Mica Paris,Rodney Youngs,,band_member
Mica Paris,David Gilmour,I Put a Spell on You,collab
Mica Paris,Laurie Latham,I Put a Spell on You,collab
David Gilmour,Laurie Latham,I Put a Spell on You,collab
Van Morrison,George Cassidy,,band_member
Dire Straits,Hal Lindes,,band_member
Dire Straits,John Illsley,,band_member
Dire Straits,Alan Clark,,band_member
Dire Straits,Guy Fletcher,,band_member
Dire Straits,David Knopfler,,band_member
Dire Straits,Terry Williams (3),,band_member
Dire Straits,Pick Withers,,band_member
Dire Straits,Jack Sonni,,band_member
